年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2008年全年度,1137010024,彰化基督教醫療財團法人彰化基督教醫院,1,1,216,204,0.46%,10,69.598,8.82%,18,10007,10007010
2009年全年度,1137010024,彰化基督教醫療財團法人彰化基督教醫院,1,1,144,140,0.69%,9,68.4,12.14%,17,10007,10007010
2010年全年度,1137010024,彰化基督教醫療財團法人彰化基督教醫院,1,0,199,187,0%,13,69.8235,11.22%,21,10007,10007010
2021年全年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,5.0000,5,0%,1,75.2000,40%,2,10007,10007010
2022年上半年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,3.0000,3,0%,2,74.3333,0%,0,10007,10007010
2022年全年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,12.0000,12,0%,2,75.7500,8.33%,1,10007,10007010
2023年上半年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,2.0000,2,0%,1,68.5000,50%,1,10007,10007010
2023年全年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,7.0000,7,0%,1,71.5714,28.57%,2,10007,10007010
2024年上半年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,10.0000,10,0%,3,72.0000,10%,1,10007,10007010
2024年全年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,14.0000,14,0%,3,72.7142,28.57%,4,10007,10007010
2025年上半年度,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,3,0.0000,9.0000,9,0%,3,72.2222,22.22%,2,10007,10007010
2011年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1,62,59,1.61%,6,69.983,13.55%,8,10007,10007020
2011年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1,145,137,0.68%,6,69.7591,14.59%,20,10007,10007020
2012年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0,83,82,0%,6,71.3048,8.53%,7,10007,10007020
2012年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0,198,188,0%,8,70.3138,7.45%,14,10007,10007020
2013年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1,116,114,0.86%,6,70.8157,17.54%,20,10007,10007020
2013年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,3,242,235,1.24%,6,69.8085,13.62%,32,10007,10007020
2014年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,3,94,93,3.19%,6,70.8172,6.45%,6,10007,10007020
2014年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,5.0000,226.0000,215,2.21%,7,70.3813,5.12%,11,10007,10007020
2015年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,128.0000,126,0%,7,70.4920,9.52%,12,10007,10007020
2015年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,3.0000,248.0000,240,1.21%,8,70.7041,8.33%,20,10007,10007020
2016年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,102.0000,102,0.98%,7,71.2745,4.9%,5,10007,10007020
2016年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,2.0000,208.0000,202,0.96%,8,70.8811,7.92%,16,10007,10007020
2017年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,2.0000,115.0000,115,1.74%,7,70.8260,7.83%,9,10007,10007020
2017年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,3.0000,229.0000,220,1.31%,7,70.9181,10%,22,10007,10007020
2018年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,106.0000,106,0%,7,71.3867,11.32%,12,10007,10007020
2018年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,229.0000,223,0.44%,7,71.1076,11.66%,26,10007,10007020
2019年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,106.0000,102,0%,7,70.7058,12.75%,13,10007,10007020
2019年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,229.0000,212,0.44%,7,71.0754,11.79%,25,10007,10007020
2020年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,62.0000,62,1.61%,6,70.8387,9.68%,6,10007,10007020
2020年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,2.0000,215.0000,211,0.93%,7,70.6492,10.43%,22,10007,10007020
2021年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,124.0000,124,0.81%,7,71.3145,12.1%,15,10007,10007020
2021年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,249.0000,241,0.4%,7,71.2199,14.11%,34,10007,10007020
2022年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,82.0000,81,0%,5,70.2962,9.88%,8,10007,10007020
2022年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,186.0000,184,0%,5,70.6195,10.87%,20,10007,10007020
2023年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0.0000,115.0000,114,0%,5,71.8859,13.16%,15,10007,10007020
2023年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,232.0000,220,.43%,6,72.1181,13.64%,30,10007,10007020
2024年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,113.0000,112,.88%,6,71.5892,19.64%,22,10007,10007020
2024年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,2.0000,258.0000,246,.78%,7,72.2195,16.67%,41,10007,10007020
2025年上半年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1.0000,140.0000,139,.71%,6,72.0359,18.71%,26,10007,10007020
2006年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0,11,10,0%,2,65.7,0%,0,10007,10007020
2007年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,0,85,77,0%,5,67.6363,7.79%,6,10007,10007020
2008年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,1,123,115,0.81%,7,68.9217,8.69%,10,10007,10007020
2009年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,2,206,196,0.97%,7,68.7755,11.22%,22,10007,10007020
2010年全年度,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,2,4,182,175,2.19%,7,69.9942,9.71%,17,10007,10007020
2011年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,14,13,0%,3,71.6153,15.38%,2,10007,10007020
2011年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1,30,28,3.33%,4,72.25,14.28%,4,10007,10007020
2012年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,8,8,0%,3,69.25,12.50%,1,10007,10007020
2012年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,21,21,0%,3,70.1428,14.29%,3,10007,10007020
2013年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,12,12,0%,3,74.1666,8.33%,1,10007,10007020
2013年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,27,27,0%,3,73.2222,7.41%,2,10007,10007020
2014年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,27,25,0%,3,70.2,24%,6,10007,10007020
2014年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,52.0000,48,0%,3,70.6875,16.67%,8,10007,10007020
2015年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,17.0000,17,0%,3,70.8823,5.88%,1,10007,10007020
2015年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,39.0000,39,0%,5,69.8205,12.82%,5,10007,10007020
2016年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,14.0000,14,0%,3,72.9285,21.43%,3,10007,10007020
2016年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1.0000,28.0000,27,3.57%,4,72.3703,22.22%,6,10007,10007020
2017年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,12.0000,12,0%,2,72.1666,8.33%,1,10007,10007020
2017年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,24.0000,22,0%,2,72.2727,22.73%,5,10007,10007020
2018年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1.0000,19.0000,19,5.26%,2,72.2631,15.79%,3,10007,10007020
2018年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1.0000,34.0000,33,2.94%,3,72.0000,9.09%,3,10007,10007020
2019年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,14.0000,14,0%,3,69.5714,7.14%,1,10007,10007020
2019年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,25.0000,23,0%,3,70.1304,8.7%,2,10007,10007020
2020年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,4.0000,4,0%,1,64.5000,25%,1,10007,10007020
2020年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,24.0000,23,0%,2,69.7391,8.7%,2,10007,10007020
2021年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,13.0000,13,0%,3,76.4615,38.46%,5,10007,10007020
2021年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,28.0000,27,0%,4,74.1111,29.63%,8,10007,10007020
2022年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,22.0000,22,0%,4,72.5909,22.73%,5,10007,10007020
2022年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,44.0000,43,0%,4,72.5581,16.28%,7,10007,10007020
2023年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,19.0000,19,0%,4,70.6842,21.05%,4,10007,10007020
2023年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,30.0000,30,0%,4,71.4333,20%,6,10007,10007020
2024年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1.0000,19.0000,19,5.26%,3,75.3157,15.79%,3,10007,10007020
2024年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,1.0000,42.0000,42,2.38%,3,73.4285,16.67%,7,10007,10007020
2025年上半年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0.0000,19.0000,19,0%,3,73.5263,10.53%,2,10007,10007020
2006年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,3,3,0%,1,70.3333,0%,0,10007,10007020
2007年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,4,4,0%,1,69.25,0%,0,10007,10007020
2008年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,4,3,0%,2,64,0%,0,10007,10007020
2009年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,14,14,0%,4,71.2142,7.14%,1,10007,10007020
2010年全年度,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,3,0,15,13,0%,4,71.5384,7.69%,1,10007,10007020
2015年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,13.0000,13,0%,4,72.7692,15.38%,2,10007,10007100
2016年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,14.0000,14,0%,4,77.0000,21.43%,3,10007,10007100
2016年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,1.0000,30.0000,29,3.33%,4,72.4827,27.59%,8,10007,10007100
2017年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,1.0000,16.0000,16,6.25%,4,73.0000,12.5%,2,10007,10007100
2017年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,1.0000,29.0000,29,3.45%,4,71.2068,10.34%,3,10007,10007100
2018年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,17.0000,17,0%,4,71.7058,47.06%,8,10007,10007100
2018年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,33.0000,33,0%,4,69.6969,30.3%,10,10007,10007100
2019年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,22.0000,22,0%,4,72.0454,9.09%,2,10007,10007100
2019年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,47.0000,44,0%,4,70.8636,9.09%,4,10007,10007100
2020年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,14.0000,14,0%,4,74.9285,14.29%,2,10007,10007100
2020年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,1.0000,46.0000,45,2.17%,4,72.8222,22.22%,10,10007,10007100
2021年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,17.0000,17,0%,4,72.4117,11.76%,2,10007,10007100
2021年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,45.0000,43,0%,4,70.9534,11.63%,5,10007,10007100
2022年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,1.0000,17.0000,16,5.88%,3,71.0625,18.75%,3,10007,10007100
2022年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,2.0000,38.0000,34,5.26%,3,71.3235,17.65%,6,10007,10007100
2023年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,14.0000,14,0%,4,72.5000,21.43%,3,10007,10007100
2023年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,35.0000,35,0%,4,71.8571,22.86%,8,10007,10007100
2024年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,16.0000,15,0%,3,72.8000,6.67%,1,10007,10007100
2024年全年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,38.0000,37,0%,5,72.2702,13.51%,5,10007,10007100
2025年上半年度,1137050019,彰化基督教醫療財團法人員林基督教醫院,3,0.0000,25.0000,25,0%,5,71.5200,16%,4,10007,10007100
2011年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,2,2,0%,1,61.5,0%,0,10007,10007200
2011年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,12,9,0%,2,65.5555,0%,0,10007,10007200
2012年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,2,2,0%,2,72,0%,0,10007,10007200
2012年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,6,6,0%,2,72.6666,16.67%,1,10007,10007200
2013年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,4,4,0%,2,73.75,0%,0,10007,10007200
2014年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,3,3,0%,2,73,66.67%,2,10007,10007200
2014年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,7.0000,6,0%,2,74.8333,33.33%,2,10007,10007200
2015年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,3.0000,3,0%,1,77.0000,33.33%,1,10007,10007200
2015年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,4.0000,4,0%,2,77.2500,50%,2,10007,10007200
2016年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,5.0000,5,0%,2,73.0000,40%,2,10007,10007200
2016年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,8.0000,8,0%,2,73.7500,25%,2,10007,10007200
2017年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,4.0000,4,0%,2,67.7500,0%,0,10007,10007200
2017年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,9.0000,9,0%,2,68.8888,11.11%,1,10007,10007200
2018年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,3.0000,3,0%,1,71.6666,33.33%,1,10007,10007200
2018年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,8.0000,8,0%,2,65.3750,12.5%,1,10007,10007200
2019年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,4.0000,4,0%,2,73.7500,0%,0,10007,10007200
2019年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,10.0000,10,0%,2,71.3000,10%,1,10007,10007200
2020年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,5.0000,5,0%,2,67.4000,20%,1,10007,10007200
2020年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,12.0000,12,0%,2,70.5000,8.33%,1,10007,10007200
2021年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,2.0000,2,0%,1,77.0000,0%,0,10007,10007200
2021年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,12.0000,11,0%,2,71.1818,27.27%,3,10007,10007200
2022年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,3.0000,3,0%,2,67.6666,66.67%,2,10007,10007200
2022年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,11.0000,10,0%,2,67.4000,40%,4,10007,10007200
2023年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,5.0000,4,0%,2,69.7500,0%,0,10007,10007200
2023年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,10.0000,9,0%,2,67.0000,11.11%,1,10007,10007200
2024年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,7.0000,7,0%,1,64.4285,14.29%,1,10007,10007200
2024年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,18.0000,18,0%,2,69.1666,11.11%,2,10007,10007200
2025年上半年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0.0000,9.0000,9,0%,2,72.7777,11.11%,1,10007,10007200
2006年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,6,6,0%,1,75.3333,0%,0,10007,10007200
2007年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,7,7,0%,1,68.5714,0%,0,10007,10007200
2008年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,7,6,0%,1,67.6666,0%,0,10007,10007200
2009年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,9,8,0%,2,67.875,0%,0,10007,10007200
2010年全年度,1137080017,彰化基督教醫療財團法人二林基督教醫院,3,0,5,5,0%,2,66.8,20%,1,10007,10007200
2019年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,2.0000,2,0%,1,74.0000,50%,1,10008,10008010
2020年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,7.0000,7,0%,4,67.8571,0%,0,10008,10008010
2020年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,13.0000,13,0%,5,68.3846,7.69%,1,10008,10008010
2021年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,8.0000,8,0%,4,74.3750,25%,2,10008,10008010
2021年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,11.0000,11,0%,5,70.6363,18.18%,2,10008,10008010
2022年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,7.0000,6,0%,4,70.3333,0%,0,10008,10008010
2022年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,10.0000,9,0%,4,69.5555,11.11%,1,10008,10008010
2023年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,8.0000,8,0%,4,68.7500,12.5%,1,10008,10008010
2023年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,16.0000,16,0%,4,66.5000,12.5%,2,10008,10008010
2024年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,4.0000,4,0%,3,71.7500,0%,0,10008,10008010
2024年全年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,10.0000,10,0%,4,70.6000,10%,1,10008,10008010
2025年上半年度,1138010019,彰化基督教醫療財團法人南投基督教醫院,3,0.0000,4.0000,4,0%,2,70.5000,0%,0,10008,10008010
2011年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1,39,37,2.56%,4,69.9189,2.70%,1,10008,10008020
2011年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1,74,68,1.35%,4,68.6764,4.41%,3,10008,10008020
2012年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,32,32,0%,2,68.8437,15.62%,5,10008,10008020
2012年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,69,65,0%,3,68.323,12.31%,8,10008,10008020
2013年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,26,26,0%,3,67.1153,3.85%,1,10008,10008020
2013年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,59,58,0%,3,67.2413,12.07%,7,10008,10008020
2014年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1,21,21,4.76%,4,70.8095,9.52%,2,10008,10008020
2014年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1.0000,56.0000,54,1.79%,4,67.8148,14.81%,8,10008,10008020
2015年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,37.0000,37,0%,2,67.9189,13.51%,5,10008,10008020
2015年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,56.0000,55,0%,2,69.3090,9.09%,5,10008,10008020
2016年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,15.0000,15,0%,2,66.8000,13.33%,2,10008,10008020
2016年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,36.0000,33,0%,2,68.4242,15.15%,5,10008,10008020
2017年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,24.0000,23,0%,2,69.7826,13.04%,3,10008,10008020
2017年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,48.0000,47,0%,2,70.1702,12.77%,6,10008,10008020
2018年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,22.0000,22,0%,2,68.5909,18.18%,4,10008,10008020
2018年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,41.0000,39,0%,2,68.0769,12.82%,5,10008,10008020
2019年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,13.0000,13,0%,2,71.3846,15.38%,2,10008,10008020
2019年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,34.0000,33,0%,3,72.0000,9.09%,3,10008,10008020
2020年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,10.0000,10,0%,3,70.2000,30%,3,10008,10008020
2020年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,25.0000,24,0%,3,69.8750,20.83%,5,10008,10008020
2021年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,18.0000,18,0%,3,71.5000,11.11%,2,10008,10008020
2021年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,34.0000,33,0%,3,70.6969,12.12%,4,10008,10008020
2022年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,14.0000,12,0%,4,69.5833,8.33%,1,10008,10008020
2022年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,30.0000,28,0%,4,70.6785,14.29%,4,10008,10008020
2023年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,15.0000,15,0%,3,71.0000,13.33%,2,10008,10008020
2023年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,35.0000,33,0%,4,70.6363,18.18%,6,10008,10008020
2024年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,19.0000,19,0%,4,72.0526,10.53%,2,10008,10008020
2024年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,43.0000,41,0%,4,71.6829,17.07%,7,10008,10008020
2025年上半年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0.0000,29.0000,27,0%,4,69.9629,11.11%,3,10008,10008020
2006年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,26,26,0%,2,65.5384,3.84%,1,10008,10008020
2007年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,26,24,0%,2,64.7083,12.50%,3,10008,10008020
2008年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,0,56,54,0%,4,68.3148,3.70%,2,10008,10008020
2009年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1,61,59,1.63%,4,68.4067,13.55%,8,10008,10008020
2010年全年度,1138020015,埔基醫療財團法人埔里基督教醫院,2,1,64,62,1.56%,5,67.629,11.29%,7,10008,10008020
2024年上半年度,1139010013,佛教慈濟醫療財團法人斗六慈濟醫院,3,0.0000,12.0000,12,0%,2,70.8333,0%,0,10009,10009010
2024年全年度,1139010013,佛教慈濟醫療財團法人斗六慈濟醫院,3,0.0000,32.0000,32,0%,3,70.2187,12.5%,4,10009,10009010
2025年上半年度,1139010013,佛教慈濟醫療財團法人斗六慈濟醫院,3,0.0000,26.0000,25,0%,1,73.0800,28%,7,10009,10009010
2011年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,4,4,0%,2,74.25,0%,0,10009,10009030
2011年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,13,13,0%,3,70.3846,0%,0,10009,10009030
2012年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,8,8,0%,1,68.625,25%,2,10009,10009030
2012年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,18,18,0%,3,69.1111,16.67%,3,10009,10009030
2013年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,17,17,0%,3,74.8235,17.65%,3,10009,10009030
2013年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,33,33,0%,3,72.9393,21.21%,7,10009,10009030
2014年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,5,5,0%,1,70.6,20%,1,10009,10009030
2014年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,14.0000,14,0%,2,72.8571,14.29%,2,10009,10009030
2015年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,5.0000,5,0%,2,69.6000,20%,1,10009,10009030
2015年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,1.0000,22.0000,21,4.55%,2,69.7619,9.52%,2,10009,10009030
2016年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,17.0000,17,0%,3,70.1176,11.76%,2,10009,10009030
2016年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,35.0000,35,0%,4,70.4571,8.57%,3,10009,10009030
2017年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,19.0000,19,0%,2,67.6842,5.26%,1,10009,10009030
